DrugBank_Name	DrugBank_ID	Synonyms	Targets_List_STRINGIDs	Targets_List_GeneNames	Targets_List
pyridoxal phosphate	DB00114	3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde | 3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate | codecarboxylase | plp | pyridoxal 5-monophosphoric acid ester | pyridoxal 5-phosphate | pyridoxal 5'-phosphate | pyridoxal p | pyridoxal phosphate anhydrous | pyridoxal-5p | pyridoxal-p	"9606.ENSP00000267845, 9606.ENSP00000267085, 9606.ENSP00000231420, 9606.ENSP00000363205, 9606.ENSP00000257549, 9606.ENSP00000493302, 9606.ENSP00000379845, 9606.ENSP00000399415, 9606.ENSP00000215904, 9606.ENSP00000333667, 9606.ENSP00000302620, 9606.ENSP00000318868, 9606.ENSP00000350928, 9606.ENSP00000245206, 9606.ENSP00000339435, 9606.ENSP00000264170, 9606.ENSP00000234111, 9606.ENSP00000378416, 9606.ENSP00000357838, 9606.ENSP00000262554, 9606.ENSP00000362540, 9606.ENSP00000443459, 9606.ENSP00000371110, 9606.ENSP00000359539, 9606.ENSP00000365437, 9606.ENSP00000365773, 9606.ENSP00000370737, 9606.ENSP00000216484, 9606.ENSP00000378408, 9606.ENSP00000348234, 9606.ENSP00000322991, 9606.ENSP00000423190, 9606.ENSP00000362298, 9606.ENSP00000359976, 9606.ENSP00000497236, 9606.ENSP00000164139, 9606.ENSP00000333551, 9606.ENSP00000216962, 9606.ENSP00000403644, 9606.ENSP00000260508, 9606.ENSP00000282538, 9606.ENSP00000310978, 9606.ENSP00000345282, 9606.ENSP00000261326, 9606.ENSP00000341117, 9606.ENSP00000371535, 9606.ENSP00000381968, 9606.ENSP00000499199, 9606.ENSP00000282466, 9606.ENSP00000359539, 9606.ENSP00000245206"	"HDC, CSAD, AGXT2, NFS1, SDS, PNPO, ABAT, KYAT1, PDXP, SHMT2, AGXT, SHMT1, GAD1, GOT2, SRR, KYNU, ODC1, ALAS1, OAT, SPTLC1, AZIN2, BCAT1, GCAT, GOT1, GAD2, PSAT1, GLDC, SPTLC2, GPT, TAT, BCAT2, AADAT, SGPL1, CTH, ALAS2, PYGM, PLPBP, PYGB, DDC, KYAT3, GADL1, PHYKPL, GPT2, MOCOS, SDSL, SEPSECS, SPTLC3, SCLY, IGSF10, GOT1, GOT2"	"P19113, Q9Y600, Q9BYV1, Q9Y697, P20132, Q9NVS9, P80404, Q16773, Q96GD0, P34897, P21549, P35520, P34896, Q99259, P00505, Q9GZT4, Q16719, P11926, P13196, P04181, O15269, Q96A70, P54687, O75600, P17174, Q05329, Q9Y617, P23378, O15270, P24298, P17735, O15382, Q8N5Z0, O95470, P32929, P22557, P11217, O94903, P11216, P20711, Q53ET4, Q6YP21, Q6ZQY3, Q8IUZ5, Q8TD30, Q96EN8, Q96GA7, Q9HD40, Q9NUV7, Q9UGI5, Q96I15, Q6WRI0, P17174, P00505"
cyanocobalamin	DB00115	cianocobalamina | cyanocob(iii)alamin | cyanocobalamin | cyanocobalamine | cyanocobalaminum | vitamin b12 | vitamin b12 complex | vitamin b12 nos	"9606.ENSP00000497008, 9606.ENSP00000355536, 9606.ENSP00000402510, 9606.ENSP00000274813, 9606.ENSP00000383840, 9606.ENSP00000365770"	"MMAA, MTR, MTRR, MMUT, MMACHC, MTHFR"	"Q8IVH4, Q99707, Q9UBK8, P22033, Q9Y4U1, P42898"
tetrahydrofolic acid	DB00116	"5,6,7,8-tetrahydrofolate | 5,6,7,8-tetrahydrofolic acid | tetrahydrofolate"	"9606.ENSP00000273588, 9606.ENSP00000377617, 9606.ENSP00000333667, 9606.ENSP00000318868, 9606.ENSP00000498336, 9606.ENSP00000355536, 9606.ENSP00000380856, 9606.ENSP00000273450, 9606.ENSP00000236959, 9606.ENSP00000365770, 9606.ENSP00000220058"	"AMT, MTHFD2, SHMT2, SHMT1, MTHFD1, MTR, FTCD, ALDH1L1, ATIC, MTHFR, MTFMT"	"P48728, P13995, P34897, P34896, P11586, Q99707, O95954, O75891, P31939, Q53ET4, P42898, Q96DP5"
histidine	DB00117	(s)-4-(2-amino-2-carboxyethyl)imidazole | (s)-a-amino-1h-imidazole-4-propanoic acid | (s)-alpha-amino-1h-imidazole-4-propanoic acid | (s)-alpha-amino-1h-imidazole-4-propionic acid | (s)-î±-amino-1h-imidazole-4-propanoic acid | his | histidina | histidine | l-(â)-histidine | l-histidin | l-histidine	"9606.ENSP00000267845, 9606.ENSP00000261208, 9606.ENSP00000481301, 9606.ENSP00000425634"	"HDC, HAL, SLC38A3, HARS1"	"P19113, P42357, Q99624, P12081"
ademetionine	DB00118	ademetionine | adomet | l-s-adenosylmethionine | s-adenosylmethionine | sam | sam-e | same	"9606.ENSP00000303147, 9606.ENSP00000361894, 9606.ENSP00000361287, 9606.ENSP00000354511, 9606.ENSP00000358896, 9606.ENSP00000362550"	"MAT2A, GNMT, MAT1A, COMT, AS3MT, CMTR1"	"P17707, P31153, P35520, Q14749, Q00266, P21964, Q9HBK9, Q8N1G2"
pyruvic acid	DB00119	2-ketopropionic acid | 2-oxopropanoic acid | 2-oxopropansã¤ure | 2-oxopropionsã¤ure | a-ketopropionic acid | acetylformic acid | acide pyruvique | alpha-ketopropionic acid | brenztraubensã¤ure | bts | pyroracemic acid | î±-ketopropionic acid | î±-oxopropionsã¤ure	"9606.ENSP00000339933, 9606.ENSP00000320171, 9606.ENSP00000307241, 9606.ENSP00000231420, 9606.ENSP00000319991, 9606.ENSP00000465734, 9606.ENSP00000358794, 9606.ENSP00000379845, 9606.ENSP00000321735, 9606.ENSP00000390564, 9606.ENSP00000448071, 9606.ENSP00000463978, 9606.ENSP00000441065, 9606.ENSP00000498994"	"PKLR, PKM, PDHB, AGXT2, SLC16A6, SLC16A2, SLC16A4, ABAT, SLC16A8, SLC16A5, SLC16A7, SLC16A3, SLC16A1, PC"	"P30613, P14618, P11177, Q9BYV1, O15403, P36021, O15374, P80404, O95907, O15375, O60669, O15427, P53985, P11498"
phenylalanine	DB00120	(s)-2-amino-3-phenylpropionic acid | (s)-alpha-amino-beta-phenylpropionic acid | 3-phenyl-l-alanine | beta-phenyl-l-alanine | f | fenilalanina | l-phenylalanine | phe | phenylalanine | phenylalaninum | î²-phenyl-l-alanine	"9606.ENSP00000316335, 9606.ENSP00000320309, 9606.ENSP00000281828, 9606.ENSP00000370571, 9606.ENSP00000348234, 9606.ENSP00000448059, 9606.ENSP00000320378"	"FARS2, FARSA, FARSB, TH, TAT, PAH, SLC7A8"	"O95363, Q9Y285, Q9NSD9, P07101, P17735, P00439, Q9UHI5"
biotin	DB00121	"(+)-cis-hexahydro-2-oxo-1h-thieno[3,4]imidazole-4-valeric acid | (3as,4s,6ar)-hexahydro-2-oxo-1h-thieno[3,4-d]imidazole-4-valeric acid | 5-(2-oxohexahydro-1h-thieno[3,4-d]imidazol-4-yl)pentanoic acid | biotin | biotina | biotine | biotinum | cis-(+)-tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid | cis-hexahydro-2-oxo-1h-thieno(3,4)imidazole-4-valeric acid | cis-tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid | coenzyme r | d-(+)-biotin | d-biotin | vitamin b7 | vitamin h"	"9606.ENSP00000343657, 9606.ENSP00000382071, 9606.ENSP00000265594, 9606.ENSP00000365462, 9606.ENSP00000419027, 9606.ENSP00000483300, 9606.ENSP00000498994, 9606.ENSP00000341044"	"MCCC2, HLCS, MCCC1, PCCA, PCCB, ACACA, PC, ACACB"	"Q9HCC0, P50747, Q96RQ3, P05165, P05166, Q13085, P11498, O00763"
choline	DB00122	"bilineurine | choline ion | n-trimethylethanolamine | n,n,n-trimethylethanol-ammonium | trimethylethanolamine | vitamin j"	"9606.ENSP00000303211, 9606.ENSP00000368439, 9606.ENSP00000292823, 9606.ENSP00000263088, 9606.ENSP00000264381, 9606.ENSP00000342793, 9606.ENSP00000406909, 9606.ENSP00000407546"	"ACHE, PCYT1B, PCYT1A, PLD2, BCHE, PLD1, PHOSPHO1, CHRNA7"	"P22303, Q9Y5K3, P49585, O14939, P06276, Q13393, Q8TCT1, P36544"
lysine	DB00123	"(s)-2,6-diaminohexanoic acid | (s)-lysine | (s)-î±,îµ-diaminocaproic acid | 6-ammonio-l-norleucine | l-2,6-diaminocaproic acid | l-lys | l-lysin | l-lysine | lys | lysina | lysine | lysine acid | lysinum"	"9606.ENSP00000372390, 9606.ENSP00000363417, 9606.ENSP00000325448, 9606.ENSP00000370128, 9606.ENSP00000004531"	"SLC7A4, SLC7A3, KARS1, SLC7A1, SLC7A2"	"O43246, Q8WY07, Q15046, P30825, P52569"
arginine	DB00125	(2s)-2-amino-5-(carbamimidamido)pentanoic acid | (2s)-2-amino-5-guanidinopentanoic acid | (s)-2-amino-5-guanidinopentanoic acid | (s)-2-amino-5-guanidinovaleric acid | arg | arginina | arginine | l-(+)-arginine | l-arg | l-arginin | l-arginine | r	"9606.ENSP00000327251, 9606.ENSP00000372390, 9606.ENSP00000363417, 9606.ENSP00000370128, 9606.ENSP00000297494, 9606.ENSP00000362540, 9606.ENSP00000307188, 9606.ENSP00000361471, 9606.ENSP00000261783"	"NOS2, SLC7A4, SLC7A3, SLC7A1, NOS3, AZIN2, ASL, ASS1, ARG2"	"P35228, O43246, Q8WY07, P30825, P29474, Q96A70, P04424, P00966, P78540"
ascorbic acid	DB00126	acide ascorbique | ã¡cido ascã³rbico | acidum ascorbicum | acidum ascorbinicum | ascorbate | ascorbic acid | ascorbinsã¤ure | l-(+)-ascorbic acid | l-ascorbate | l-ascorbic acid | vitamin c | vitamina c	"9606.ENSP00000263556, 9606.ENSP00000196061, 9606.ENSP00000376776, 9606.ENSP00000263038, 9606.ENSP00000282903, 9606.ENSP00000223127, 9606.ENSP00000263182, 9606.ENSP00000306100, 9606.ENSP00000236040, 9606.ENSP00000228922, 9606.ENSP00000398181, 9606.ENSP00000316881, 9606.ENSP00000478600, 9606.ENSP00000457258, 9606.ENSP00000469686, 9606.ENSP00000302232, 9606.ENSP00000322408, 9606.ENSP00000355601, 9606.ENSP00000250457, 9606.ENSP00000335261, 9606.ENSP00000341422"	"P4HA1, PLOD1, DBH, PHYH, PLOD2, PLOD3, BBOX1, PAM, P3H1, OGFOD2, ALKBH2, P3H2, P3H3, OGFOD1, EGLN2, ALKBH3, KDM5D, EGLN1, EGLN3, TMLHE, P4HTM"	"P13674, Q02809, P09172, O14832, O00469, O60568, O75936, P19021, Q32P28, Q6N063, Q6NS38, Q8IVL5, Q8IVL6, Q8N543, Q96KS0, Q96Q83, Q9BY66, Q9GZT9, Q9H6Z9, Q9NVH6, Q9NXG6"
spermine	DB00127	"4,9-diaza-1,12-dodecanediamine | 4,9-diazadodecane-1,12-diamine | musculamine | n,n'-bis(3-aminopropyl)-1,4-butanediamine | spermina | spermine"	"9606.ENSP00000358301, 9606.ENSP00000234111, 9606.ENSP00000420194, 9606.ENSP00000478305, 9606.ENSP00000305372, 9606.ENSP00000385746"	"ADRB1, ODC1, CASR, SMOX, ADRB2, SMS"	"P08588, P11926, P41180, Q9NWM0, P07550, P52788"
aspartic acid	DB00128	(s)-2-aminobutanedioic acid | (s)-2-aminosuccinic acid | 2-aminosuccinic acid | ã¡cido aspã¡rtico | acidum asparticum | asp | aspartic acid | d | l-asp | l-asparaginsã¤ure | l-aspartate | l-aspartic acid	"9606.ENSP00000263080, 9606.ENSP00000377845, 9606.ENSP00000388658, 9606.ENSP00000400101, 9606.ENSP00000245206, 9606.ENSP00000384296, 9606.ENSP00000368767, 9606.ENSP00000359539, 9606.ENSP00000361471, 9606.ENSP00000264161, 9606.ENSP00000262352, 9606.ENSP00000382595, 9606.ENSP00000355493, 9606.ENSP00000497569, 9606.ENSP00000400057, 9606.ENSP00000381057, 9606.ENSP00000261267, 9606.ENSP00000333019, 9606.ENSP00000355493"	"ASPA, ASNS, SLC25A12, SLC25A13, GOT2, ACY1, ASPH, GOT1, ASS1, DARS1, SLC1A1, PAICS, ADSS2, DARS2, ASRGL1, RNASE1, LYZ, ADSS1, ADSS2"	"P45381, P08243, O75746, Q9UJS0, P00505, Q03154, Q12797, P17174, P00966, P14868, P43005, P22234, P30520, Q6PI48, Q7L266, P07998, P61626, Q8N142, P30520"
ornithine	DB00129	"(s)-2,5-diaminopentanoate | (s)-2,5-diaminopentanoic acid | (s)-2,5-diaminovaleric acid | (s)-ornithine | (s)-î±,î´-diaminovaleric acid | l-ornithine | levo-ornithine | ornithine | ornithinum | ornitina"	"9606.ENSP00000342267, 9606.ENSP00000370128, 9606.ENSP00000239451, 9606.ENSP00000349446, 9606.ENSP00000039007, 9606.ENSP00000379895, 9606.ENSP00000473381, 9606.ENSP00000357838, 9606.ENSP00000004531, 9606.ENSP00000261783"	"SLC25A15, SLC7A1, SLC25A2, ARG1, OTC, GATM, OAZ1, OAT, SLC7A2, ARG2"	"Q9Y619, P30825, Q9BXI2, P05089, P00480, P50440, P54368, P04181, P52569, P78540"
l-glutamine	DB00130	"(2s)-2-amino-4-carbamoylbutanoic acid | (2s)-2,5-diamino-5-oxopentanoic acid | (s)-2,5-diamino-5-oxopentanoic acid | glutamic acid 5-amide | glutamic acid amide | glutamina | glutamine | l-(+)-glutamine | l-2-aminoglutaramic acid | l-glutamic acid î³-amide | l-glutamin | l-glutamine | l-glutaminsã¤ure-5-amid | levoglutamide | q"	"9606.ENSP00000264220, 9606.ENSP00000497744, 9606.ENSP00000307900"	"PPAT, CTPS1, GLUL"	"Q06203, P17812, P15104"
adenosine phosphate	DB00131	5'-adenosine monophosphate | 5'-adenylic acid | 5'-amp | 5'-o-phosphonoadenosine | adenosine 5'-(dihydrogen phosphate) | adenosine 5'-monophosphate | adenosine 5'-phosphate | adenosine monophosphate | adenosine phosphate | adenosine-5'-monophosphate | adenosine-5'-monophosphoric acid | adenosine-5'p | adenosini phosphas | adenylate | adenylic acid | ado5'p | amp | fosfato de adenosina | pado | phosphate d'adã©nosine	"9606.ENSP00000441369, 9606.ENSP00000297323, 9606.ENSP00000253382, 9606.ENSP00000342637, 9606.ENSP00000422607, 9606.ENSP00000346148, 9606.ENSP00000387699, 9606.ENSP00000345502, 9606.ENSP00000304229, 9606.ENSP00000408025, 9606.ENSP00000443965, 9606.ENSP00000346148, 9606.ENSP00000360290, 9606.ENSP00000441369, 9606.ENSP00000254101, 9606.ENSP00000323867, 9606.ENSP00000287878, 9606.ENSP00000397133"	"PRKAB1, ADCY1, ACSS2, PDE4B, ACSL1, PRKAA1, CREB1, PDE4D, HINT1, FBP1, ADK, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3"	"Q9Y478, Q08828, Q9NR19, Q07343, P33121, Q13131, P16220, Q08499, P49773, P09467, P55263, Q13131, P54646, Q9Y478, O43741, P54619, Q9UGJ0, Q9UGI9"
alpha-linolenic acid	DB00132	"(9,12,15)-linolenic acid | (9z,12z,15z)-octadecatrienoic acid | (z,z,z)-9,12,15-octadecatrienoic acid | 9-cis,12-cis,15-cis-octadecatrienoic acid | 9,12,15-octadecatrienoic acid | ala | all-cis-9,12,15-octadecatrienoic acid | alpha-linolenic acid | cis-delta(9,12,15)-octadecatrienoic acid | cis,cis,cis-9,12,15-octadecatrienoic acid | linolenic acid | î±-linolenic acid"	"9606.ENSP00000385523, 9606.ENSP00000287820, 9606.ENSP00000419692, 9606.ENSP00000322229, 9606.ENSP00000384763, 9606.ENSP00000310928, 9606.ENSP00000459962, 9606.ENSP00000447149, 9606.ENSP00000278840, 9606.ENSP00000359956, 9606.ENSP00000346693"	"PPARA, PPARG, RXRA, FADS1, SLC8A1, PPARD, TRPV1, NR1H4, FADS2, ELOVL5, ELOVL2"	"Q07869, P37231, P19793, O60427, P32418, Q03181, Q8NER1, Q96RI1, O95864, Q9NYP7, Q9NXB9"
serine	DB00133	(s)-2-amino-3-hydroxypropanoic acid | (s)-serine | alpha-amino-beta-hydroxypropionic acid | beta-hydroxyalanine | l-serine | ser | serina | serine | serinum	"9606.ENSP00000358939, 9606.ENSP00000257549, 9606.ENSP00000302620, 9606.ENSP00000339435, 9606.ENSP00000262554, 9606.ENSP00000216484"	"SARS1, SDS, AGXT, SRR, SPTLC1, SPTLC2"	"P49591, P20132, P21549, P35520, Q9GZT4, O15269, O15270"
methionine	DB00134	(2s)-2-amino-4-(methylsulfanyl)butanoic acid | (s)-2-amino-4-(methylthio)butanoic acid | (s)-2-amino-4-(methylthio)butyric acid | (s)-methionine | l-(â)-methionine | l-a-amino-g-methylthiobutyric acid | l-methionin | l-methionine | l-î±-amino-î³-methylmercaptobutyric acid | m | met | methionine	"9606.ENSP00000355536, 9606.ENSP00000402510, 9606.ENSP00000274353, 9606.ENSP00000325312, 9606.ENSP00000255192"	"MTR, MTRR, BHMT, METAP2, BHMT2"	"Q99707, Q9UBK8, Q93088, P50579, Q9H2M3"
tyrosine	DB00135	(â)-î±-amino-p-hydroxyhydrocinnamic acid | (2s)-2-amino-3-(4-hydroxyphenyl)propanoic acid | (s)-(-)-tyrosine | (s)-2-amino-3-(p-hydroxyphenyl)propionic acid | (s)-3-(p-hydroxyphenyl)alanine | (s)-alpha-amino-4-hydroxybenzenepropanoic acid | (s)-tyrosine | (s)-î±-amino-4-hydroxybenzenepropanoic acid | 4-hydroxy-l-phenylalanine | l-tyrosin | l-tyrosine | tirosina | tyr | tyrosine | tyrosinum | y	"9606.ENSP00000362576, 9606.ENSP00000320658, 9606.ENSP00000370571, 9606.ENSP00000348234"	"YARS1, YARS2, TH, TAT"	"P54577, Q9Y2Z4, P07101, P17735"
calcitriol	DB00136	"(1s,3r,5z,7e)-9,10-secocholesta-5,7,10-triene-1,3,25-triol | (1î±,3î²,5z,7e)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol | (5z,7e)-(1s,3r)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol | 1-alpha-25-dihydroxyvitamin d3 | 1,25-dhcc | 1,25-dihydroxycholecalciferol | 1î±,25-dihydroxycholecalciferol | 1î±,25-dihydroxyvitamin d3 | 1î±,25(oh)2d3 | calcitriol | calcitriolum"	9606.ENSP00000283921	HOXA10	"P11473, P31260"
cystine	DB00138	"(r,r)-3,3'-dithiobis(2-aminopropanoic acid) | cistina | cystine | l-alpha-diamino-beta-dithiolactic acid | l-cystine | l-dicysteine | î²,î²'-dithiodialanine"	"9606.ENSP00000280612, 9606.ENSP00000371294"	"SLC7A11, CTNS"	"Q9UPY5, O60931"
succinic acid	DB00139	"1,2-ethanedicarboxylic acid | acide butanedioã¯que | acide succinique | acidum succinicum | amber acid | asuccin | bernsteinsã¤ure | butandisã¤ure | butanedioic acid | butanedionic acid | dihydrofumaric acid | ethylenesuccinic acid | spirit of amber | succinic acid"	"9606.ENSP00000314649, 9606.ENSP00000355156"	"ALDH5A1, SUCNR1"	"P51649, Q9BXA5"
riboflavin	DB00140	"1-deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2h)-yl)pentitol | 6,7-dimethyl-9-d-ribitylisoalloxazine | 7,8-dimethyl-10-(d-ribo-2,3,4,5-tetrahydroxypentyl)isoalloxazine | 7,8-dimethyl-10-ribitylisoalloxazine | lactoflavin | lactoflavine | riboflavin | riboflavina | riboflavine | riboflavinum | vitamin b2 | vitamin bi | vitamin g"	"9606.ENSP00000365926, 9606.ENSP00000263368"	"RFK, BLVRB"	"Q969G6, P30043"
n-acetylglucosamine	DB00141	2-acetamido-2-deoxy-d-glucose | aldehydo-n-acetyl-d-glucosamine | d-glcnac | n-acetyl-d-glucosamine | n-acetylchitosamine	"9606.ENSP00000377303, 9606.ENSP00000369055, 9606.ENSP00000225927, 9606.ENSP00000420161, 9606.ENSP00000477639, 9606.ENSP00000310998"	"RENBP, B4GALT1, NAGLU, B4GALT4, NAGK, NAGPA"	"P51606, P15291, P54802, O60513, Q9UJ70, Q9UK23"
glutamic acid	DB00142	(2s)-2-aminopentanedioic acid | (s)-2-aminopentanedioic acid | (s)-glutamic acid | ã¡cido glutã¡mico | glu | glutamic acid | l-glutamate | l-glutamic acid | l-glutaminic acid	"9606.ENSP00000310447, 9606.ENSP00000280612, 9606.ENSP00000403768, 9606.ENSP00000497574, 9606.ENSP00000277865, 9606.ENSP00000355890, 9606.ENSP00000377845, 9606.ENSP00000379845, 9606.ENSP00000419851, 9606.ENSP00000327687, 9606.ENSP00000360608, 9606.ENSP00000350928, 9606.ENSP00000245206, 9606.ENSP00000263269, 9606.ENSP00000233838, 9606.ENSP00000477455, 9606.ENSP00000293190, 9606.ENSP00000443459, 9606.ENSP00000359539, 9606.ENSP00000256999, 9606.ENSP00000365437, 9606.ENSP00000365773, 9606.ENSP00000359258, 9606.ENSP00000428994, 9606.ENSP00000355155, 9606.ENSP00000378408, 9606.ENSP00000348234, 9606.ENSP00000362344, 9606.ENSP00000322991, 9606.ENSP00000423190, 9606.ENSP00000327589, 9606.ENSP00000332549, 9606.ENSP00000380856, 9606.ENSP00000360268, 9606.ENSP00000282753, 9606.ENSP00000317379, 9606.ENSP00000397026, 9606.ENSP00000435648, 9606.ENSP00000301218, 9606.ENSP00000296526, 9606.ENSP00000282499, 9606.ENSP00000481554, 9606.ENSP00000362183, 9606.ENSP00000440556, 9606.ENSP00000350348, 9606.ENSP00000351142, 9606.ENSP00000278379, 9606.ENSP00000262352, 9606.ENSP00000265113, 9606.ENSP00000345282, 9606.ENSP00000313490, 9606.ENSP00000307900, 9606.ENSP00000326424, 9606.ENSP00000478639, 9606.ENSP00000480476, 9606.ENSP00000221742, 9606.ENSP00000265162, 9606.ENSP00000456218, 9606.ENSP00000293404, 9606.ENSP00000431076, 9606.ENSP00000220763, 9606.ENSP00000359539, 9606.ENSP00000245206"	"GLS2, SLC7A11, AASS, GCLC, GLUD1, EPRS1, ASNS, ABAT, GMPS, GRIK1, GRIN1, GAD1, GOT2, GRIN2D, GGCX, GRIN2B, GRIN2C, BCAT1, GOT1, FOLH1, GAD2, PSAT1, GCLM, GRIA1, GRIN3A, GPT, TAT, FPGS, BCAT2, AADAT, GLUD2, GRIN2A, FTCD, ALDH18A1, GRM1, GLS, GRIK2, GRIK4, GRIK5, GRIA2, GRIA4, GRIA3, GRIK3, GRM4, GRM7, GRM8, SLC1A2, SLC1A1, SLC1A3, GPT2, PFAS, GLUL, NADSYN1, SLC1A7, OPLAH, SLC1A6, ENPEP, EARS2, NAGS, DNPEP, CPQ, GOT1, GOT2"	"Q9UI32, Q9UPY5, Q9UDR5, P48506, P00367, P07814, P08243, P80404, P49915, P39086, Q05586, Q99259, P00505, O15399, P38435, Q13224, Q14957, P54687, P17174, Q04609, Q05329, Q9Y617, P48507, P42261, Q8TCU5, P24298, P17735, Q05932, O15382, Q8N5Z0, P49448, Q12879, O95954, P54886, Q13255, O94925, Q13002, Q16099, Q16478, P42262, P48058, P42263, Q13003, Q14833, Q14831, O00222, P43004, P43005, P43003, Q8TD30, O15067, P15104, Q6IA69, O00341, O14841, P48664, Q07075, Q5JPH6, Q8N159, Q9ULA0, Q9Y646, P17174, P00505"
glutathione	DB00143	"5-l-glutamyl-l-cysteinylglycine | aec glutathione | gamma-l-glutamyl-l-cysteinyl-glycine | glutathion | glutathione | glutathione-sh | glycine, l-.gamma.-glutamyl-l-cysteinyl- | gsh | l-glutathione reduced | liposomal glutathione | n-(n-gamma-l-glutamyl-l-cysteinyl)glycine | reduced glutathione | reduced l-glutathione"	"9606.ENSP00000361405, 9606.ENSP00000495750, 9606.ENSP00000221130, 9606.ENSP00000285930, 9606.ENSP00000311469, 9606.ENSP00000431049, 9606.ENSP00000211122, 9606.ENSP00000354357, 9606.ENSP00000360002, 9606.ENSP00000358851, 9606.ENSP00000360028, 9606.ENSP00000381607, 9606.ENSP00000358727, 9606.ENSP00000374265, 9606.ENSP00000451976, 9606.ENSP00000392398, 9606.ENSP00000373477, 9606.ENSP00000248923, 9606.ENSP00000362463, 9606.ENSP00000292596, 9606.ENSP00000346103, 9606.ENSP00000295256, 9606.ENSP00000241337, 9606.ENSP00000380514, 9606.ENSP00000420168, 9606.ENSP00000356864, 9606.ENSP00000335620, 9606.ENSP00000379512, 9606.ENSP00000367992, 9606.ENSP00000369314, 9606.ENSP00000256593, 9606.ENSP00000354581, 9606.ENSP00000354677, 9606.ENSP00000482639, 9606.ENSP00000345023, 9606.ENSP00000356410, 9606.ENSP00000498939, 9606.ENSP00000392398, 9606.ENSP00000374265, 9606.ENSP00000373477, 9606.ENSP00000354581, 9606.ENSP00000354677, 9606.ENSP00000346103, 9606.ENSP00000423822"	"MMP9, GSS, GSR, AKR1B1, GSTM1, GSTK1, GSTA3, GSTM3, GSTA4, GSTM4, GSTA5, GSTP1, GSTO1, GPX2, GSTZ1, GPX5, GPX3, GGT1, GLO1, LTC4S, GPX4, HPGDS, GSTM2, HAGH, GSTA2, MGST3, GSTA1, MGST1, ESD, GLRX, GSTM5, GPX6, GPX7, MGST2, GSTO2, GLRX2, CYP3A4, GPX5, GPX2, GPX3, GPX6, GPX7, GPX4, GPX8"	"P14780, P48637, P00390, P15121, P09488, Q9Y2Q3, Q16772, P21266, O15217, Q03013, Q7RTV2, P09211, P78417, P07203, P18283, P30711, O43708, O75715, P22352, P19440, Q04760, Q16873, P36969, O60760, P28161, Q16775, P09210, O14880, P08263, P10620, P10768, P35754, P46439, P59796, Q6NSD4, Q96SL4, Q99735, Q9H4Y5, Q9NS18, P08684, O75715, P07203, P18283, P22352, P59796, Q96SL4, P36969, Q8TED1"
